model,feature,participant,accuracy,macro_f1,weighted_f1
CNN,Mel,19,0.05,0.015873015873015872,0.0047619047619047615
CNN,Mel,20,0.23529411764705882,0.07619047619047618,0.0896358543417367
CNN,Mel,21,0.5086206896551724,0.3522092681493093,0.35220926814930925
CNN,Mel,22,0.2206896551724138,0.1777740366355668,0.14522046243662132
CNN,Mel,23,0.35714285714285715,0.17543859649122806,0.18796992481203006
CNN,Mel,24,0.6,0.25,0.45
CNN,Mel,25,0.22413793103448276,0.13513058975614042,0.09106601235822968
CNN,Mel,26,0.3448275862068966,0.315527950310559,0.2548358473824312
CNN,Mel,27,0.32950191570881227,0.24885949254407386,0.23273035403447817
CNN,Mel,28,0.21052631578947367,0.08695652173913043,0.07322654462242563
CNN,Mel,29,0.25,0.1,0.1
CNN,Mel,30,0.21052631578947367,0.08695652173913043,0.07322654462242563
CNN,Mel,31,0.38620689655172413,0.29337409297449857,0.2749555894517768
CNN,Mel,32,0.21052631578947367,0.08695652173913043,0.07322654462242563
CNN,Mel,33,0.617816091954023,0.5096484490796885,0.5864550489126041
CNN,Mel,34,0.23225152129817445,0.23382551676740754,0.2461981298755718
CNN,Mel,35,0.33706896551724136,0.280934634073601,0.280934634073601
CNN,Mel,36,0.530852994555354,0.5329109831078335,0.5321995310909525
CNN,Mel,37,0.21052631578947367,0.08695652173913043,0.07322654462242563
CNN,Mel,38,0.17647058823529413,0.075,0.05294117647058823
CNN,Mel,39,0.16666666666666666,0.07142857142857142,0.047619047619047616
CNN,Mel,40,0.17647058823529413,0.09999999999999999,0.05294117647058823
CNN,Mel,41,0.16666666666666666,0.07142857142857142,0.047619047619047616
CNN,GFCC,1,0.21428571428571427,0.07058823529411765,0.07563025210084034
CNN,GFCC,2,0.09523809523809523,0.028985507246376812,0.016563146997929608
CNN,GFCC,3,0.11764705882352941,0.03508771929824561,0.024767801857585137
CNN,GFCC,4,0.15384615384615385,0.05333333333333333,0.041025641025641026
CNN,GFCC,5,0.125,0.04444444444444444,0.027777777777777776
CNN,GFCC,6,0.23529411764705882,0.06349206349206349,0.0896358543417367
CNN,GFCC,7,0.42857142857142855,0.15,0.2571428571428571
CNN,GFCC,8,0.2,0.08333333333333333,0.06666666666666667
CNN,GFCC,9,0.21428571428571427,0.08823529411764706,0.07563025210084034
CNN,GFCC,10,0.05263157894736842,0.014285714285714287,0.005263157894736843
CNN,GFCC,11,0.2,0.1111111111111111,0.06666666666666667
CNN,GFCC,12,0.09090909090909091,0.03333333333333333,0.01515151515151515
CNN,GFCC,13,0.14285714285714285,0.05,0.03571428571428571
CNN,GFCC,14,0.25,0.1,0.1
CNN,GFCC,15,0.25,0.08,0.1
CNN,GFCC,16,0.08333333333333333,0.025641025641025644,0.01282051282051282
CNN,GFCC,17,0.2,0.047619047619047616,0.06666666666666667
CNN,GFCC,18,0.26666666666666666,0.07017543859649122,0.11228070175438595
CNN,GFCC,19,0.1,0.030303030303030304,0.01818181818181818
CNN,GFCC,20,0.11764705882352941,0.042105263157894736,0.024767801857585137
CNN,GFCC,21,0.5,0.3333333333333333,0.3333333333333333
CNN,GFCC,22,0.15,0.05217391304347826,0.03913043478260869
CNN,GFCC,23,0.2857142857142857,0.14814814814814814,0.12698412698412698
CNN,GFCC,24,0.2,0.1111111111111111,0.06666666666666667
CNN,GFCC,25,0.4444444444444444,0.20512820512820515,0.27350427350427353
CNN,GFCC,26,0.7142857142857143,0.4166666666666667,0.5952380952380952
CNN,GFCC,27,0.2777777777777778,0.10869565217391304,0.12077294685990338
CNN,GFCC,28,0.21052631578947367,0.08695652173913043,0.07322654462242563
CNN,GFCC,29,0.25,0.1,0.1
CNN,GFCC,30,0.2631578947368421,0.10416666666666667,0.10964912280701755
CNN,GFCC,31,0.25,0.1,0.1
CNN,GFCC,32,0.21052631578947367,0.08695652173913043,0.07322654462242563
CNN,GFCC,33,0.3333333333333333,0.16666666666666666,0.16666666666666666
CNN,GFCC,34,0.17647058823529413,0.075,0.05294117647058823
CNN,GFCC,35,0.25,0.1,0.1
CNN,GFCC,36,0.21052631578947367,0.08695652173913043,0.07322654462242563
CNN,GFCC,37,0.21052631578947367,0.08695652173913043,0.07322654462242563
CNN,GFCC,38,0.29411764705882354,0.11363636363636363,0.13368983957219252
CNN,GFCC,39,0.16666666666666666,0.07142857142857142,0.047619047619047616
CNN,GFCC,40,0.5294117647058824,0.23076923076923075,0.3665158371040724
CNN,GFCC,41,0.2777777777777778,0.10869565217391304,0.12077294685990338
